学习时长,出勤率,家长参与度,资源获取,课外活动,睡眠时间,过往成绩,学习动机水平,网络接入,辅导课程,家庭收入,教师质量,学校类型,同伴影响,体育活动,学习障碍,家长教育水平,家庭距离,性别,考试成绩
23,84,低,高,否,7,73,低,是,0,低,中,公立,积极,3,否,高中,近,男,67
19,64,低,中,否,8,59,低,是,2,中,中,公立,消极,4,否,大学,中等,女,61
24,98,中,中,是,7,91,中,是,2,中,中,公立,中性,4,否,研究生,近,男,74
29,89,低,中,是,8,98,中,是,1,中,中,公立,消极,4,否,高中,中等,男,71
19,92,中,中,是,6,65,中,是,3,中,高,公立,中性,4,否,大学,近,女,70
19,88,中,中,是,8,89,中,是,3,中,中,公立,积极,3,否,研究生,近,男,71
29,84,中,低,是,7,68,低,是,1,低,中,私立,中性,2,否,高中,中等,男,67
25,78,低,高,是,6,50,中,是,1,高,高,公立,消极,2,否,高中,远,男,66
17,94,中,高,否,6,80,高,是,0,中,低,私立,中性,1,否,大学,近,男,69
23,98,中,中,是,8,71,中,是,0,高,高,公立,积极,5,否,高中,中等,男,72
17,80,低,高,否,8,88,中,否,4,中,高,私立,中性,4,否,大学,中等,男,68
17,97,中,高,是,6,87,低,是,2,低,高,私立,中性,2,否,高中,近,男,71
21,83,中,中,是,8,97,低,是,2,中,中,公立,积极,4,否,高中,近,男,70
9,82,中,中,是,8,72,中,是,2,中,中,私立,积极,3,否,研究生,近,男,66
10,78,中,高,是,8,74,中,是,1,低,中,私立,中性,4,否,研究生,近,男,65
17,68,中,中,否,8,70,中,是,2,中,中,私立,积极,4,否,高中,近,女,64
14,60,中,低,是,10,65,低,是,0,高,中,私立,积极,3,否,大学,近,男,60
22,70,低,中,是,6,82,中,是,1,低,高,公立,中性,3,否,高中,近,女,65
15,80,中,中,是,9,91,低,是,3,低,中,公立,积极,2,否,大学,中等,女,67
12,75,中,高,是,7,58,中,是,3,中,中,私立,积极,4,否,大学,近,男,66
29,78,中,中,否,5,99,高,是,0,高,中,公立,消极,1,否,高中,中等,女,69
19,99,中,高,否,6,84,中,是,1,中,高,公立,中性,3,否,高中,近,男,72
20,74,中,高,否,8,89,低,是,1,中,中,公立,消极,2,否,大学,中等,女,66
11,78,高,中,是,8,100,高,是,1,低,中,公立,中性,3,否,高中,中等,男,66
17,65,低,高,是,5,75,中,是,2,低,中,公立,积极,3,否,高中,近,女,63
21,62,高,低,是,6,54,高,是,0,高,高,公立,积极,3,否,研究生,远,男,64
13,91,低,中,否,6,90,中,是,1,高,中,公立,消极,2,是,高中,中等,女,65
